
2025/03/01 (19:49:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (19:51:21) | ===> btop++ v.1.4.0
2025/03/01 (19:51:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (19:52:08) | ===> btop++ v.1.4.0
2025/03/01 (19:52:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (19:53:00) | ===> btop++ v.1.4.0
2025/03/01 (19:53:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (19:55:03) | ===> btop++ v.1.4.0
2025/03/01 (19:55:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (19:55:47) | ===> btop++ v.1.4.0
2025/03/01 (19:55:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (19:56:01) | ===> btop++ v.1.4.0
2025/03/01 (19:56:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (19:56:10) | ===> btop++ v.1.4.0
2025/03/01 (19:56:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (19:59:36) | ===> btop++ v.1.4.0
2025/03/01 (19:59:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (19:59:44) | ===> btop++ v.1.4.0
2025/03/01 (19:59:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (19:59:57) | ===> btop++ v.1.4.0
2025/03/01 (19:59:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (20:00:03) | ===> btop++ v.1.4.0
2025/03/01 (20:00:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (20:00:22) | ===> btop++ v.1.4.0
2025/03/01 (20:00:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (20:00:29) | ===> btop++ v.1.4.0
2025/03/01 (20:00:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (20:00:42) | ===> btop++ v.1.4.0
2025/03/01 (20:00:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (20:01:30) | ===> btop++ v.1.4.0
2025/03/01 (20:01:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (20:01:39) | ===> btop++ v.1.4.0
2025/03/01 (20:01:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (20:01:49) | ===> btop++ v.1.4.0
2025/03/01 (20:01:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (20:01:58) | ===> btop++ v.1.4.0
2025/03/01 (20:01:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (20:02:06) | ===> btop++ v.1.4.0
2025/03/01 (20:02:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (20:02:13) | ===> btop++ v.1.4.0
2025/03/01 (20:02:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (20:02:24) | ===> btop++ v.1.4.0
2025/03/01 (20:02:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (20:02:30) | ===> btop++ v.1.4.0
2025/03/01 (20:02:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (20:02:36) | ===> btop++ v.1.4.0
2025/03/01 (20:02:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (20:02:43) | ===> btop++ v.1.4.0
2025/03/01 (20:02:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (20:02:54) | ===> btop++ v.1.4.0
2025/03/01 (20:02:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (20:03:02) | ===> btop++ v.1.4.0
2025/03/01 (20:03:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (20:05:25) | ===> btop++ v.1.4.0
2025/03/01 (20:05:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (20:15:58) | ===> btop++ v.1.4.0
2025/03/01 (20:15:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (09:55:47) | ===> btop++ v.1.4.0
2025/03/02 (09:55:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (11:18:47) | ===> btop++ v.1.4.0
2025/03/02 (11:18:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (12:21:45) | ===> btop++ v.1.4.0
2025/03/13 (12:21:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (12:22:31) | ===> btop++ v.1.4.0
2025/03/13 (12:22:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (12:22:56) | ===> btop++ v.1.4.0
2025/03/13 (12:22:56) | WARNING: Intel GPU: Failed to initialize PMU

